日期,收市,,,,,
2025/1/1,"23,525.41",,,,,
2024/12/1,"23,035.10",,,,,
2024/11/1,"22,262.50",,,,,
2024/10/1,"22,820.43",,,,,
2024/9/1,"22,224.54",,,,,
2024/8/1,"22,268.09",,,,,
2024/7/1,"22,199.35",,,,,
2024/6/1,"23,032.25",,,,,
2024/5/1,"21,174.22",,,,,
2024/4/1,"20,396.60",,,,,
2024/3/1,"20,294.45",,,,,
2024/2/1,"18,966.77",,,,,
2024/1/1,"17,889.56",,,,,
2023/12/1,"17,930.81",,,,,
2023/11/1,"17,433.85",,,,,
2023/10/1,"16,001.27",,,,,
2023/9/1,"16,353.74",,,,,
2023/8/1,"16,634.51",,,,,
2023/7/1,"17,145.43",,,,,
2023/6/1,"16,915.54",,,,,
2023/5/1,"16,578.96",,,,,
2023/4/1,"15,579.18",,,,,
2023/3/1,"15,868.06",,,,,
2023/2/1,"15,503.79",,,,,
2023/1/1,"15,265.20",,,,,
2022/12/1,"14,137.69",,,,,
2022/11/1,"14,879.55",,,,,
2022/10/1,"12,949.75",,,,,
2022/9/1,"13,424.58",,,,,
2022/8/1,"15,095.44",,,,,
2022/7/1,"15,000.07",,,,,
2022/6/1,"14,825.73",,,,,
2022/5/1,"16,807.77",,,,,
2022/4/1,"16,592.18",,,,,
2022/3/1,"17,693.47",,,,,
2022/2/1,"17,652.18",,,,,
2022/1/1,"17,674.40",,,,,
2021/12/1,"18,218.84",,,,,
2021/11/1,"17,427.76",,,,,
2021/10/1,"16,987.41",,,,,
2021/9/1,"16,934.77",,,,,
2021/8/1,"17,490.29",,,,,
2021/7/1,"17,247.41",,,,,
2021/6/1,"17,755.46",,,,,
2021/5/1,"17,068.43",,,,,
2021/4/1,"17,566.66",,,,,
2021/3/1,"16,431.13",,,,,
2021/2/1,"15,953.80",,,,,
2021/1/1,"15,138.31",,,,,
2020/12/1,"14,732.53",,,,,
2020/11/1,"13,722.89",,,,,
2020/10/1,"12,546.34",,,,,
2020/9/1,"12,515.61",,,,,
2020/8/1,"12,591.45",,,,,
2020/7/1,"12,664.80",,,,,
2020/6/1,"11,621.24",,,,,
2020/5/1,"10,942.16",,,,,
2020/4/1,"10,992.14",,,,,
2020/3/1,"9,708.06",,,,,
2020/2/1,"11,292.17",,,,,
2020/1/1,"11,495.10",,,,,
2019/12/1,"11,997.14",,,,,
2019/11/1,"11,489.57",,,,,
2019/10/1,"11,358.71",,,,,
2019/9/1,"10,829.68",,,,,
2019/8/1,"10,618.05",,,,,
2019/7/1,"10,823.81",,,,,
2019/6/1,"10,730.83",,,,,
2019/5/1,"10,498.49",,,,,
2019/4/1,"10,967.73",,,,,
2019/3/1,"10,641.04",,,,,
2019/2/1,"10,389.17",,,,,
2019/1/1,"9,932.26",,,,,
2018/12/1,"9,727.41",,,,,
2018/11/1,"9,888.03",,,,,
2018/10/1,"9,802.13",,,,,
2018/9/1,"11,006.34",,,,,
2018/8/1,"11,063.94",,,,,
2018/7/1,"11,057.51",,,,,
2018/6/1,"10,836.91",,,,,
2018/5/1,"10,874.96",,,,,
2018/4/1,"10,657.88",,,,,
2018/3/1,"10,919.49",,,,,
2018/2/1,"10,815.47",,,,,
2018/1/1,"11,103.79",,,,,
2017/12/1,"10,642.86",,,,,
2017/11/1,"10,560.44",,,,,
2017/10/1,"10,793.80",,,,,
2017/9/1,"10,383.94",,,,,
2017/8/1,"10,585.78",,,,,
2017/7/1,"10,427.33",,,,,
2017/6/1,"10,395.07",,,,,
2017/5/1,"10,040.72",,,,,
2017/4/1,"9,872.00",,,,,
2017/3/1,"9,811.52",,,,,
2017/2/1,"9,750.47",,,,,
2017/1/1,"9,447.95",,,,,
2016/12/1,"9,253.50",,,,,
2016/11/1,"9,240.71",,,,,
2016/10/1,"9,290.12",,,,,
2016/9/1,"9,166.85",,,,,
2016/8/1,"9,068.85",,,,,
2016/7/1,"8,984.41",,,,,
2016/6/1,"8,666.58",,,,,
2016/5/1,"8,535.59",,,,,
2016/4/1,"8,377.90",,,,,
2016/3/1,"8,744.83",,,,,
2016/2/1,"8,411.16",,,,,
2016/1/1,"8,145.21",,,,,
2015/12/1,"8,338.06",,,,,
2015/11/1,"8,320.61",,,,,
2015/10/1,"8,554.31",,,,,
2015/9/1,"8,181.24",,,,,
2015/8/1,"8,174.92",,,,,
2015/7/1,"8,665.34",,,,,
2015/6/1,"9,323.02",,,,,
2015/5/1,"9,701.07",,,,,
2015/4/1,"9,820.05",,,,,
2015/3/1,"9,586.44",,,,,
2015/2/1,"9,622.10",,,,,
2015/1/1,"9,361.91",,,,,
2014/12/1,"9,307.26",,,,,
2014/11/1,"9,187.15",,,,,
2014/10/1,"8,974.76",,,,,
2014/9/1,"8,966.92",,,,,
2014/8/1,"9,436.27",,,,,
2014/7/1,"9,315.85",,,,,
2014/6/1,"9,393.07",,,,,
2014/5/1,"9,075.91",,,,,
2014/4/1,"8,791.44",,,,,
2014/3/1,"8,849.28",,,,,
2014/2/1,"8,639.58",,,,,
2014/1/1,"8,462.57",,,,,
2013/12/1,"8,611.51",,,,,
